t,x0,x1,x2
0,10,1,1
0.01,9.26948,3.56366,1.19086
0.02,8.84195,5.9214,1.5831
0.03,8.67207,8.13568,2.14833
0.04,8.72423,10.2572,2.88059
0.05,8.97042,12.3239,3.78998
0.06,9.38822,14.3599,4.89839
0.07,9.95899,16.3749,6.23634
0.08,10.666,18.3621,7.84004
0.09,11.4925,20.2965,9.74801
0.1,12.4202,22.1327,11.9964
0.11,13.4269,23.803,14.6131
0.12,14.4852,25.2182,17.6091
0.13,15.5608,26.2704,20.9693
0.14,16.6118,26.8406,24.6423
0.15,17.589,26.8125,28.5326
0.16,18.4376,26.091,32.4976
0.17,19.1009,24.6242,36.3539
0.18,19.5256,22.4228,39.8952
0.19,19.668,19.5714,42.9188
0.2,19.5001,16.2252,45.2583
0.21,19.014,12.5909,46.8115
0.22,18.2236,8.89527,47.556
0.23,17.1625,5.35055,47.5476
0.24,15.8794,2.12573,46.9033
0.25,14.4317,-0.669043,45.7746
0.26,12.8788,-2.98406,44.3207
0.27,11.2768,-4.8208,42.6867
0.28,9.67406,-6.21709,40.9912
0.29,8.10998,-7.23168,39.3216
0.3,6.61395,-7.9314,37.7359
0.31,5.20625,-8.38204,36.2675
0.32,3.89923,-8.64304,34.9314
0.33,2.69885,-8.76503,33.7296
0.34,1.60611,-8.78926,32.6565
0.35,0.618432,-8.74834,31.7018
0.36,-0.26925,-8.66731,30.8534
0.37,-1.06359,-8.565,30.0989
0.38,-1.77215,-8.45528,29.4265
0.39,-2.4029,-8.34812,28.8258
0.4,-2.96384,-8.25055,28.2875
0.41,-3.46278,-8.16735,27.8039
0.42,-3.90715,-8.10159,27.3684
0.43,-4.3039,-8.05511,26.9757
0.44,-4.65944,-8.02883,26.6218
0.45,-4.97963,-8.02295,26.3031
0.46,-5.26977,-8.0372,26.0172
0.47,-5.53461,-8.07092,25.7621
0.48,-5.77835,-8.12316,25.5362
0.49,-6.00473,-8.19277,25.3386
0.5,-6.21697,-8.27846,25.1685
0.51,-6.41789,-8.37877,25.0255
0.52,-6.60988,-8.49215,24.9092
0.53,-6.79495,-8.61695,24.8196
0.54,-6.97477,-8.75142,24.7566
0.55,-7.15067,-8.89374,24.7201
0.56,-7.32368,-9.04197,24.7101
0.57,-7.49453,-9.1941,24.7266
0.58,-7.66371,-9.34803,24.7694
0.59,-7.83143,-9.50157,24.8382
0.6,-7.9977,-9.65246,24.9327
0.61,-8.16227,-9.79836,25.0522
0.62,-8.32474,-9.93691,25.1958
